avg,min,max
59,17,166
39,11,112
116,14,250
43,20,75
13,5,46
13,1,374
22,2,59
15,8,38
17,3,36
22,4,63
22,1,154
35,7,130
23,5,49
28,7,317
31,10,66
31,13,56
32,15,83
42,11,80
40,9,80
32,5,74
37,18,62
30,18,67
42,20,74
103,6,516
22,5,57
26,7,220
66,10,133
110,21,455
49,9,238
95,19,439
56,19,147
190,17,594
187,39,410
41,8,161
120,19,245
130,3,519
33,15,53
113,25,200
76,14,240
24,6,53
45,13,70
25,12,44
23,9,56
27,10,60
23,11,49
24,14,43
33,7,219
56,5,513
61,1,1532
175,40,550
65,10,342
186,14,1325
272,8,1714
127,5,815
70,11,186
62,6,274
120,13,815
26,7,134
57,11,219
54,11,164
